;vorname;anzahl;geschlecht;position
CW;Chiara;2;w;1
CW;Alec;2;m;1
CW;Chloé;2;w;1
CW;Aleksandar;2;m;1
CW;Clementine;2;w;1
CW;Alen;2;m;1
CW;Cleo;2;w;1
CW;Alessio;2;m;1
CW;Dalia;2;w;1
CW;Alexandros;2;m;1
CW;Dana;2;w;1
CW;Alparslan;2;m;1
CW;Eleanor;2;w;1
CW;Amin;2;m;1
CW;Elen;2;w;1
CW;Amon;2;m;1
CW;Eleonora;2;w;1
CW;Anatol;2;m;1
CW;Elida;2;w;1
CW;Antonio;2;m;1
CW;Elina;2;w;1
CW;Antonius;2;m;1
CW;Elizabeth;2;w;1
CW;Aram;2;m;1
CW;Elizan;2;w;1
CW;Aras;2;m;1
CW;Elsa;2;w;1
CW;Ari;2;m;1
CW;Elsbeth;2;w;1
CW;Aris;2;m;1
